"plot","biomass","water","tree"
11,1.70833333333333,"MINUS","YES"
12,0.866666666666667,"MINUS","YES"
13,2.97222222222222,"MINUS","YES"
14,2.71111111111111,"MINUS","YES"
15,2.5,"MINUS","YES"
16,2.40277777777778,"MINUS","YES"
21,2.13333333333333,"MINUS","NO"
22,2.10833333333333,"MINUS","NO"
23,3.09722222222222,"MINUS","NO"
24,2.47222222222222,"MINUS","NO"
25,2.18611111111111,"MINUS","NO"
26,3.85277777777778,"MINUS","NO"
31,9.15277777777778,"PLUS","YES"
32,7.47222222222222,"PLUS","YES"
33,10.6111111111111,"PLUS","YES"
34,7.88888888888889,"PLUS","YES"
35,7.26388888888889,"PLUS","YES"
36,6.87222222222222,"PLUS","YES"
41,6.98611111111111,"PLUS","NO"
42,6.83611111111111,"PLUS","NO"
43,8.80555555555556,"PLUS","NO"
44,11.4861111111111,"PLUS","NO"
45,7,"PLUS","NO"
46,11.0694444444444,"PLUS","NO"
71,4.54166666666667,"NORM","YES"
72,5.27777777777778,"NORM","YES"
73,5.06944444444444,"NORM","YES"
74,4.45833333333333,"NORM","YES"
75,7.29722222222222,"NORM","YES"
76,4.88888888888889,"NORM","YES"
81,4.875,"NORM","NO"
82,6.09,"NORM","NO"
83,6.625,"NORM","NO"
84,6.61111111111111,"NORM","NO"
85,5.79166666666667,"NORM","NO"
86,7.97222222222222,"NORM","NO"
